,open,close,high,low
2015/11/30,3433.86,3445.41,3470.37,3327.81
2015/12/1,3442.44,3456.31,3483.41,3417.55
2015/12/2,3450.28,3536.91,3538.85,3427.66
2015/12/3,3525.73,3584.82,3591.73,3517.23
2015/12/4,3558.15,3524.99,3568.97,3510.41
2015/12/7,3529.81,3536.93,3543.95,3506.63
2015/12/8,3518.65,3470.07,3518.65,3466.79
2015/12/9,3462.58,3472.44,3495.7,3454.88
2015/12/10,3469.81,3455.49,3503.65,3446.27
2015/12/11,3441.6,3434.58,3455.55,3410.92
2015/12/14,3403.51,3520.67,3521.78,3399.28
2015/12/15,3518.13,3510.35,3529.96,3496.85
2015/12/16,3522.09,3516.19,3538.69,3506.29
2015/12/17,3533.63,3580,3583.41,3533.63
2015/12/18,3574.94,3578.96,3614.7,3568.16
2015/12/21,3568.58,3642.47,3651.06,3565.75
2015/12/22,3645.99,3651.77,3652.64,3616.87
2015/12/23,3653.28,3636.09,3684.57,3633.03
2015/12/24,3631.31,3612.49,3640.22,3572.28
2015/12/25,3614.05,3627.91,3635.26,3601.74
2015/12/28,3635.77,3533.78,3641.59,3533.78
2015/12/29,3528.39,3563.74,3564.17,3515.52
2015/12/30,3566.73,3572.88,3573.68,3538.11
2015/12/31,3570.47,3539.18,3580.6,3538.35
2016/1/4,3536.59,3296.26,3538.69,3295.74
2016/1/5,3196.65,3287.71,3328.14,3189.61
2016/1/6,3291.2,3361.84,3362.97,3288.93
2016/1/7,3309.66,3125,3309.66,3115.89
2016/1/8,3194.63,3186.41,3235.45,3056.88
2016/1/11,3131.85,3016.7,3166.22,3016.7
2016/1/12,3026.16,3022.86,3047.66,2978.46
2016/1/13,3041.11,2949.6,3059.01,2949.29
2016/1/14,2874.05,3007.65,3012.29,2867.55
2016/1/15,2988.05,2900.97,3001.71,2883.87
2016/1/18,2847.54,2913.84,2945.45,2844.7
2016/1/19,2914.41,3007.74,3012.07,2906.4
2016/1/20,2993.01,2976.69,3016.28,2951.92
2016/1/21,2934.39,2880.48,2998.79,2880.08
2016/1/22,2911.11,2916.56,2931.36,2851.73
2016/1/25,2934.08,2938.51,2955.78,2911.83
2016/1/26,2907.72,2749.79,2911.99,2743.84
2016/1/27,2756.08,2735.56,2768.77,2638.3
2016/1/28,2711.16,2655.66,2740.54,2647.49
2016/1/29,2652.85,2737.6,2755.37,2649.79
2016/2/1,2730.98,2688.85,2735.26,2655.62
2016/2/2,2687.98,2749.57,2755.16,2687.98
2016/2/3,2719.57,2739.25,2746.07,2696.88
2016/2/4,2751.43,2781.02,2793.3,2751.31
2016/2/5,2783.08,2763.49,2790.06,2762.16
2016/2/15,2684.96,2746.2,2760.36,2682.09
2016/2/16,2758.58,2836.57,2840.62,2758.58
2016/2/17,2829.76,2867.34,2868.7,2824.36
2016/2/18,2881.78,2862.89,2893.21,2857.7
2016/2/19,2854.9,2860.02,2872.72,2840.49
2016/2/22,2888.6,2927.18,2933.96,2880.35
2016/2/23,2925.71,2903.33,2928.05,2872.28
2016/2/24,2889.88,2928.9,2929.87,2872.27
2016/2/25,2922.24,2741.25,2922.24,2729.85
2016/2/26,2760.06,2767.21,2784.75,2715.87
2016/2/29,2754.81,2687.98,2755.89,2638.96
2016/3/1,2688.38,2733.17,2747.56,2668.76
2016/3/2,2733.77,2849.68,2852.7,2732.54
2016/3/3,2847.33,2859.76,2878.45,2840.87
2016/3/4,2848.54,2874.15,2880.37,2808.85
2016/3/7,2886.64,2897.34,2911.84,2871.35
2016/3/8,2895.67,2901.39,2902.62,2802.56
2016/3/9,2839.41,2862.56,2863.01,2811.72
2016/3/10,2847.57,2804.73,2863.18,2803.48
2016/3/11,2781.6,2810.31,2815.61,2772.55
2016/3/14,2830.08,2859.5,2889.82,2823.03
2016/3/15,2853.98,2864.37,2865.79,2819.79
2016/3/16,2858.71,2870.43,2881.53,2854.19
2016/3/17,2875.41,2904.83,2921,2857.19
2016/3/18,2915.52,2955.15,2971.55,2908.74
2016/3/21,2978.46,3018.8,3028.32,2973.76
2016/3/22,3001.63,2999.36,3019.1,2988.43
2016/3/23,2991.17,3009.96,3012.56,2980.86
2016/3/24,2986.8,2960.97,2998.15,2960.54
2016/3/25,2956.2,2979.43,2981.41,2952.11
2016/3/28,2988.01,2957.82,3008.17,2948.53
2016/3/29,2956.71,2919.83,2962.2,2905.25
2016/3/30,2941.22,3000.64,3001.11,2941.22
2016/3/31,3009.37,3003.92,3023.41,2992.92
2016/4/1,2997.09,3009.53,3009.67,2956.25
2016/4/5,3000.94,3053.07,3057.33,2993.15
2016/4/6,3039.74,3050.59,3059.79,3029
2016/4/7,3058.34,3008.42,3062.36,3007.06
2016/4/8,2988.2,2984.96,2996.17,2960.46
2016/4/11,3006.91,3033.96,3048.98,3006.91
2016/4/12,3031.3,3023.65,3036.82,3001.32
2016/4/13,3041.36,3066.64,3097.16,3041.36
2016/4/14,3080.09,3082.36,3086.7,3056.99
2016/4/15,3085.03,3078.12,3089.95,3066.87
2016/4/18,3058.46,3033.66,3058.46,3022.97
2016/4/19,3047.13,3042.82,3054.5,3024.9
2016/4/20,3050.38,2972.58,3055.69,2905.05
2016/4/21,2954.37,2952.89,2990.67,2943.46
2016/4/22,2933.03,2959.24,2960.21,2926.78
2016/4/25,2949.97,2946.67,2954.09,2917.02
2016/4/26,2944.72,2964.7,2965.43,2933.97
2016/4/27,2967.19,2953.67,2976.02,2949.43
2016/4/28,2955.74,2945.59,2959.51,2916.37
2016/4/29,2935.38,2938.32,2950.58,2930.36
2016/5/3,2940.39,2992.64,2993.53,2929.81
2016/5/4,2983.03,2991.27,3004.42,2978.33
2016/5/5,2987.02,2997.84,2999.12,2977.2
2016/5/6,2998.4,2913.25,3003.59,2913.04
2016/5/9,2896.16,2832.11,2896.16,2821.83
2016/5/10,2822.33,2832.59,2845.24,2820.16
2016/5/11,2843.54,2837.04,2857.25,2818.7
2016/5/12,2812.11,2835.86,2839.28,2781.24
2016/5/13,2828.46,2827.11,2850.09,2814.11
2016/5/16,2816.78,2850.86,2851.23,2804.99
2016/5/17,2850.93,2843.68,2860.32,2832.46
2016/5/18,2828.18,2807.51,2828.26,2781.42
2016/5/19,2802.31,2806.91,2829.4,2801.55
2016/5/20,2792.89,2825.48,2825.95,2785.08
2016/5/23,2826.31,2843.64,2848.07,2826.26
2016/5/24,2839.68,2821.67,2839.7,2807.19
2016/5/25,2835.03,2815.09,2843.16,2807.75
2016/5/26,2813.54,2822.44,2827.09,2780.76
2016/5/27,2817.97,2821.05,2832.8,2809.8
2016/5/30,2814.65,2822.45,2830.97,2794.66
2016/5/31,2822.59,2916.62,2917.14,2822.59
2016/6/1,2917.15,2913.51,2929.08,2909.51
2016/6/2,2911.22,2925.23,2925.67,2906.52
2016/6/3,2929.79,2938.68,2945.52,2915.18
2016/6/6,2940.99,2934.1,2945.94,2922.28
2016/6/7,2936.28,2936.04,2938.44,2923.5
2016/6/8,2932.38,2927.16,2937.99,2908.37
2016/6/13,2897.27,2833.07,2911.16,2832.51
2016/6/14,2824.23,2842.19,2843.46,2822.06
2016/6/15,2814.69,2887.21,2894.26,2811.78
2016/6/16,2878.4,2872.82,2887.74,2865.39
2016/6/17,2873.01,2885.11,2900.3,2872.18
2016/6/20,2887.64,2888.81,2891.66,2864.02
2016/6/21,2898.38,2878.56,2919.3,2869.18
2016/6/22,2872.73,2905.55,2905.98,2869.51
2016/6/23,2902.4,2891.96,2904.11,2878.66
2016/6/24,2883.76,2854.29,2899.57,2807.6
2016/6/27,2840.56,2895.7,2895.73,2840.28
2016/6/28,2885.01,2912.56,2913.58,2878.82
2016/6/29,2918.53,2931.59,2934,2915.06
2016/6/30,2931.48,2929.61,2938.14,2922.31
2016/7/1,2931.8,2932.48,2944.99,2925.81
2016/7/4,2924.29,2988.6,2992.5,2922.52
2016/7/5,2991.75,3006.39,3010.28,2990.64
2016/7/6,2998.52,3017.29,3017.65,2984.83
2016/7/7,3009.35,3016.85,3024.11,2994.64
2016/7/8,3000.33,2988.09,3001.55,2983.88
2016/7/11,2993.75,2994.92,3022.94,2990.91
2016/7/12,2992.52,3049.38,3049.68,2984.42
2016/7/13,3049.51,3060.69,3069.05,3048.2
2016/7/14,3054.97,3054.02,3057.05,3036.52
2016/7/15,3056.68,3054.3,3062.68,3044.54
2016/7/18,3047.64,3043.56,3058.32,3031.64
2016/7/19,3040.23,3036.6,3043.6,3014.29
2016/7/20,3034.71,3027.9,3043,3022.63
2016/7/21,3027.6,3039.01,3053.33,3027.37
2016/7/22,3038.12,3012.82,3039.27,3007.46
2016/7/25,3008.09,3015.83,3027.12,3003.29
2016/7/26,3014.04,3050.17,3050.61,3013.8
2016/7/27,3050.37,2992,3057.42,2939.23
2016/7/28,2980.5,2994.32,3003.36,2968.18
2016/7/29,2992.54,2979.34,3000.05,2972.92
2016/8/1,2971.95,2953.39,2972.88,2931.96
2016/8/2,2950.08,2971.28,2971.28,2946.64
2016/8/3,2963.21,2978.46,2981.16,2956.79
2016/8/4,2976.41,2982.43,2982.86,2958.93
2016/8/5,2978.78,2976.7,2991.68,2971.56
2016/8/8,2972.62,3004.28,3004.72,2959.05
2016/8/9,3001.31,3025.68,3025.91,2998.68
2016/8/10,3023.47,3018.75,3033.2,3017.09
2016/8/11,3013.68,3002.64,3038.05,3001.17
2016/8/12,3000.27,3050.67,3051.05,2999.04
2016/8/15,3056.48,3125.2,3137.48,3053.87
2016/8/16,3130.53,3110.04,3140.44,3102.07
2016/8/17,3106.99,3109.55,3114.25,3090.28
2016/8/18,3107.75,3104.11,3125.58,3093.32
2016/8/19,3100.39,3108.1,3113.34,3082.77
2016/8/22,3107.38,3084.81,3112.74,3083.59
2016/8/23,3081.57,3089.71,3101.11,3073.53
2016/8/24,3092.02,3085.88,3097.15,3079.55
2016/8/25,3073.44,3068.33,3073.44,3041.51
2016/8/26,3069.85,3070.31,3087.65,3063.89
2016/8/29,3068.46,3070.03,3074.94,3058.79
2016/8/30,3071.44,3074.68,3082.99,3065.97
2016/8/31,3072.92,3085.49,3087.7,3063.4
2016/9/1,3083.96,3063.31,3088.7,3062.88
2016/9/2,3057.49,3067.35,3072.53,3050.49
2016/9/5,3070.71,3072.1,3085.49,3065.33
2016/9/6,3071.06,3090.71,3095.51,3053.19
2016/9/7,3091.33,3091.93,3105.68,3087.88
2016/9/8,3089.95,3095.95,3096.78,3083.9
2016/9/9,3095.43,3078.85,3101.79,3078.22
2016/9/12,3037.51,3021.98,3040.95,2999.93
2016/9/13,3025.03,3023.51,3029.72,3008.74
