,index,balance,net_worth,open_amount,price_x,step,symbol,type,amount,price_y
121,121,94.62965443179564,373663.1940648758,2.2501599900000016,3891.8443547013703,121,ETH/BTC,TradeType.MARKET_BUY,2.25015999,3891.8443547013703
122,122,2259.1282620432803,8715443.537618304,1.6876199900000015,3847.723908720241,122,ETH/BTC,TradeType.LIMIT_SELL,0.56254,3847.723908720241
123,123,5488.484201200699,21161358.639330152,0.8438099900000016,3827.1126665450975,123,ETH/BTC,TradeType.MARKET_SELL,0.84381,3827.1126665450975
124,124,8732.4526410564,33681069.836554535,1.5543122344752192e-15,3844.43,124,ETH/BTC,TradeType.LIMIT_SELL,0.84380999,3844.43
125,125,147.23680547189906,576451.8915027147,2.2197958500000015,3867.57,125,ETH/BTC,TradeType.LIMIT_BUY,2.21979585,3867.57
126,126,4414.161704501799,17029701.46064296,1.1098979200000014,3844.43,126,ETH/BTC,TradeType.LIMIT_SELL,1.10989793,3844.43
127,127,74.42438664699966,295359.2411058897,2.2331462500000017,3863.56,127,ETH/BTC,TradeType.LIMIT_BUY,1.12324833,3863.56
128,128,6506.6225345105995,25072167.14529846,0.5582865600000018,3840.44,128,ETH/BTC,TradeType.LIMIT_SELL,1.67485969,3840.44
129,129,8114.6720618754,31266369.084363196,0.13957164000000177,3840.44,129,ETH/BTC,TradeType.LIMIT_SELL,0.41871492,3840.44
130,130,6107.511460091305,23546983.08414208,0.6555281500000018,3890.17400281294,130,ETH/BTC,TradeType.MARKET_BUY,0.51595651,3890.17400281294
131,131,6738.795379830118,25979950.993353043,0.49164611000000175,3852.062860206116,131,ETH/BTC,TradeType.LIMIT_SELL,0.16388204,3852.062860206116
132,132,7210.630534424635,27798401.813278288,0.36873458000000175,3838.819308444998,132,ETH/BTC,TradeType.MARKET_SELL,0.12291153,3838.819308444998
133,133,7564.606525328643,29177753.748578656,0.27655093000000175,3839.899926982807,133,ETH/BTC,TradeType.MARKET_SELL,0.09218365,3839.899926982807
134,134,5708.087331511825,22019012.92112047,0.7572830600000018,3861.8579411715587,134,ETH/BTC,TradeType.LIMIT_BUY,0.48073213,3861.8579411715587
135,135,6435.541030990626,24811199.601134524,0.5679622900000018,3842.44,135,ETH/BTC,TradeType.LIMIT_SELL,0.18932077,3842.44
136,136,8610.490040366401,33193439.105612475,1.7763568394002505e-15,3829.3898163129375,136,ETH/BTC,TradeType.MARKET_SELL,0.56796229,3829.3898163129375
137,137,8610.490040366401,33193439.105612475,1.7763568394002505e-15,3854.0,,,,,
138,138,8610.490040366401,33193439.105612475,1.7763568394002505e-15,3854.0,,,,,
139,139,8610.490040366401,33193439.105612475,1.7763568394002505e-15,3842.7695287215874,,,,,
140,140,8610.490040366401,33176218.125531744,1.7763568394002505e-15,3852.0,,,,,
