,open,close,low,high,volume
2019/6/18 14:17,3659.53,3659.48,3659.19,3659.77,15347200
2019/6/18 14:18,3659.29,3659.46,3659,3659.51,16318800
2019/6/18 14:19,3659.36,3659.19,3658.38,3659.79,17535600
2019/6/18 14:20,3658.73,3658.98,3658.36,3658.98,18750800
2019/6/18 14:21,3658.64,3658.35,3658.24,3658.94,20313600
2019/6/18 14:22,3657.84,3658.88,3657.84,3659.14,21578800
2019/6/18 14:23,3659.36,3661.13,3659.23,3661.13,22854000
2019/6/18 14:24,3660.92,3661.18,3660.62,3661.18,20045600
2019/6/18 14:25,3661.27,3663.27,3660.58,3663.27,34933200
2019/6/18 14:26,3663.78,3664.05,3663.61,3664.6,37055200
2019/6/18 14:27,3664.9,3666.75,3663.92,3666.75,41395200
2019/6/18 14:28,3667.43,3669.34,3667.43,3669.43,43470800
2019/6/18 14:29,3669.69,3667.63,3667.63,3669.69,32939600
2019/6/18 14:30,3668.15,3667.14,3666.72,3668.15,21175600
2019/6/18 14:31,3667.48,3665.51,3665.51,3667.48,29788000
2019/6/18 14:32,3666.14,3665.22,3664.92,3666.14,19605600
2019/6/18 14:33,3665.52,3665.29,3664.87,3665.52,21496000
2019/6/18 14:34,3665.46,3667.44,3665.36,3667.79,38994400
2019/6/18 14:35,3668.11,3668.01,3667.79,3668.37,26818400
2019/6/18 14:36,3668.44,3669.09,3667.99,3669.09,24746400
2019/6/18 14:37,3669.33,3669.49,3669.33,3670.55,29931600
2019/6/18 14:38,3669.38,3668.61,3668.41,3669.41,26263200
2019/6/18 14:39,3668.59,3667.15,3667.15,3668.59,33676800
2019/6/18 14:40,3666.81,3666.09,3666.09,3666.81,25703600
2019/6/18 14:41,3666.64,3666.59,3666.11,3666.64,25430000
2019/6/18 14:42,3666.32,3666.51,3666.06,3666.98,41207200
2019/6/18 14:43,3666.68,3665.58,3665.58,3666.94,27093200
2019/6/18 14:44,3665.62,3665.13,3664.78,3665.7,36814400
2019/6/18 14:45,3665.57,3665.11,3664.82,3665.59,25089600
2019/6/18 14:46,3665.17,3666.62,3665.04,3666.69,28007200
2019/6/18 14:47,3666.4,3665.37,3665.37,3666.4,33813200
2019/6/18 14:48,3665.43,3662.68,3662.68,3665.54,39115600
2019/6/18 14:49,3662.98,3662.7,3662.3,3663.39,31729600
2019/6/18 14:50,3663.43,3662.75,3662.57,3663.66,29810400
