,open,close,low,high,volume
2019-10-24 14:08:00,3861.45,3863.1,3861.45,3863.1,16488800.0
2019-10-24 14:09:00,3863.2,3864.37,3863.2,3864.47,19573200.0
2019-10-24 14:10:00,3864.17,3864.84,3863.88,3864.84,19582400.0
2019-10-24 14:11:00,3864.47,3868.89,3864.47,3868.89,41236500.0
2019-10-24 14:12:00,3868.94,3870.87,3868.78,3870.87,34225600.0
2019-10-24 14:13:00,3870.66,3869.84,3869.84,3870.66,22456200.0
2019-10-24 14:14:00,3869.63,3870.15,3869.41,3870.15,24523700.0
2019-10-24 14:15:00,3870.2,3869.05,3868.89,3870.2,24231400.0
2019-10-24 14:16:00,3869.03,3869.53,3868.64,3869.65,19906100.0
2019-10-24 14:17:00,3868.72,3868.34,3868.34,3869.11,18838900.0
2019-10-24 14:18:00,3868.39,3867.68,3867.35,3868.39,17915500.0
2019-10-24 14:19:00,3867.5,3868.26,3867.23,3868.63,20265500.0
2019-10-24 14:20:00,3868.49,3868.59,3868.01,3868.95,22471600.0
2019-10-24 14:21:00,3868.83,3869.38,3868.83,3869.8,19196200.0
2019-10-24 14:22:00,3869.31,3871.38,3869.31,3871.38,25766600.0
2019-10-24 14:23:00,3871.96,3873.62,3871.63,3873.62,33658300.0
2019-10-24 14:24:00,3873.35,3873.66,3873.22,3874.04,29106300.0
2019-10-24 14:25:00,3873.67,3872.61,3872.61,3873.67,22339300.0
2019-10-24 14:26:00,3872.51,3873.3,3872.51,3873.64,22503200.0
2019-10-24 14:27:00,3873.32,3873.21,3873.01,3873.6,22034900.0
2019-10-24 14:28:00,3872.6,3870.98,3870.98,3872.6,24287500.0
2019-10-24 14:29:00,3870.94,3869.61,3869.61,3870.96,25280600.0
2019-10-24 14:30:00,3869.51,3870.37,3869.07,3870.37,20944900.0
2019-10-24 14:31:00,3870.61,3871.67,3870.15,3872.26,27673200.0
2019-10-24 14:32:00,3871.87,3871.61,3870.97,3872.03,20028800.0
2019-10-24 14:33:00,3871.86,3870.44,3870.44,3871.86,20895800.0
2019-10-24 14:34:00,3870.39,3869.43,3869.43,3870.39,21585300.0
2019-10-24 14:35:00,3869.41,3869.94,3868.99,3869.94,19117500.0
2019-10-24 14:36:00,3870.11,3868.76,3868.63,3870.11,20695200.0
2019-10-24 14:37:00,3868.8,3867.81,3867.81,3868.8,20168500.0
2019-10-24 14:38:00,3868.15,3868.15,3867.63,3868.38,21110400.0
2019-10-24 14:39:00,3868.1,3868.22,3867.61,3868.3,21117400.0
2019-10-24 14:40:00,3868.12,3867.27,3867.27,3868.12,27240100.0
2019-10-24 14:41:00,3867.16,3866.39,3866.39,3867.39,28153200.0
2019-10-24 14:42:00,3866.37,3864.89,3864.75,3866.37,28440300.0
2019-10-24 14:43:00,3864.92,3864.58,3864.22,3864.92,26306200.0
2019-10-24 14:44:00,3865.1,3867.15,3864.67,3867.15,34047100.0
2019-10-24 14:45:00,3867.46,3868.65,3867.02,3868.65,51925900.0
2019-10-24 14:46:00,3867.83,3867.34,3867.22,3867.94,33243200.0
2019-10-24 14:47:00,3866.66,3866.5,3866.31,3867.2,30551300.0
2019-10-24 14:48:00,3867.23,3869.8,3867.23,3869.97,42133600.0
2019-10-24 14:49:00,3869.3,3868.77,3868.77,3869.69,29916000.0
2019-10-24 14:50:00,3868.47,3867.47,3867.47,3868.73,32207700.0
2019-10-24 14:51:00,3867.59,3866.64,3866.64,3867.59,38206800.0
2019-10-24 14:52:00,3866.94,3867.6,3866.82,3867.6,29349300.0
2019-10-24 14:53:00,3867.24,3867.71,3867.09,3868.38,32991700.0
2019-10-24 14:54:00,3867.54,3868.33,3867.54,3868.33,39474400.0
2019-10-24 14:55:00,3868.39,3868.51,3867.86,3868.64,38659300.0
2019-10-24 14:56:00,3868.06,3869.54,3868.06,3869.54,46919000.0
2019-10-24 14:57:00,3869.44,3869.59,3869.33,3870.09,44889100.0
2019-10-24 14:58:00,3869.82,3869.82,3869.82,3869.82,680300.0
2019-10-24 14:59:00,3869.82,3869.82,3869.82,3869.82,0.0
2019-10-24 15:00:00,3869.83,3870.67,3869.83,3870.67,81003800.0
2019-10-25 09:31:00,3871.77,3866.08,3866.08,3871.77,151095700.0
2019-10-25 09:32:00,3865.6,3866.46,3865.6,3867.02,63935400.0
2019-10-25 09:33:00,3865.91,3865.09,3864.95,3866.92,59475600.0
2019-10-25 09:34:00,3864.96,3862.18,3862.18,3864.96,58219200.0
2019-10-25 09:35:00,3861.63,3864.26,3861.22,3864.26,59896400.0
2019-10-25 09:36:00,3863.39,3861.42,3860.56,3863.39,57473500.0
2019-10-25 09:37:00,3861.0,3863.24,3861.0,3863.45,54573000.0
2019-10-25 09:38:00,3862.19,3859.84,3859.84,3862.64,59033400.0
2019-10-25 09:39:00,3859.24,3862.12,3859.24,3862.2,67079100.0
2019-10-25 09:40:00,3862.22,3862.68,3861.83,3863.11,45619400.0
2019-10-25 09:41:00,3862.87,3859.34,3859.34,3862.87,54527700.0
2019-10-25 09:42:00,3859.1,3863.34,3858.89,3863.61,61678600.0
2019-10-25 09:43:00,3863.72,3862.52,3862.52,3864.32,44724200.0
2019-10-25 09:44:00,3863.04,3861.52,3861.46,3863.04,44885300.0
2019-10-25 09:45:00,3860.98,3861.12,3860.98,3861.8,38507000.0
2019-10-25 09:46:00,3861.31,3855.02,3855.02,3861.31,61893100.0
2019-10-25 09:47:00,3855.02,3853.13,3852.95,3855.02,71812200.0
2019-10-25 09:48:00,3852.9,3854.45,3852.9,3855.02,52370000.0
2019-10-25 09:49:00,3855.34,3855.1,3855.1,3855.63,42868000.0
2019-10-25 09:50:00,3855.34,3857.13,3855.34,3857.13,36050700.0
2019-10-25 09:51:00,3857.32,3858.15,3857.32,3858.34,38313200.0
2019-10-25 09:52:00,3858.24,3853.75,3853.75,3858.24,44022200.0
2019-10-25 09:53:00,3854.03,3854.54,3853.83,3854.85,35006400.0
2019-10-25 09:54:00,3854.71,3854.33,3853.99,3854.71,32628500.0
2019-10-25 09:55:00,3854.41,3855.98,3854.26,3855.98,37482800.0
2019-10-25 09:56:00,3856.24,3857.38,3856.03,3857.38,39211300.0
2019-10-25 09:57:00,3857.53,3857.38,3857.17,3857.83,35378500.0
2019-10-25 09:58:00,3857.63,3854.43,3854.43,3857.63,49199800.0
2019-10-25 09:59:00,3854.47,3852.51,3852.51,3854.47,50681500.0
2019-10-25 10:00:00,3852.22,3852.38,3852.22,3852.91,50770300.0
2019-10-25 10:01:00,3852.16,3854.43,3851.92,3854.43,42103200.0
2019-10-25 10:02:00,3854.06,3854.57,3854.0,3854.62,32522600.0
2019-10-25 10:03:00,3854.73,3855.85,3854.24,3855.85,34894800.0
2019-10-25 10:04:00,3855.57,3856.24,3855.54,3856.42,29857200.0
2019-10-25 10:05:00,3856.95,3856.05,3855.61,3856.98,29462800.0
2019-10-25 10:06:00,3855.96,3857.31,3855.67,3857.31,32440900.0
2019-10-25 10:07:00,3857.2,3857.72,3857.14,3857.83,28329000.0
2019-10-25 10:08:00,3857.46,3858.12,3857.42,3858.31,27026100.0
2019-10-25 10:09:00,3858.73,3857.16,3856.86,3858.86,32591900.0
2019-10-25 10:10:00,3857.68,3857.29,3856.88,3857.68,29171500.0
2019-10-25 10:11:00,3857.26,3856.34,3855.85,3857.33,33590300.0
2019-10-25 10:12:00,3856.2,3856.99,3855.15,3857.18,41021900.0
2019-10-25 10:13:00,3857.26,3855.66,3854.96,3857.51,27913400.0
2019-10-25 10:14:00,3856.0,3855.59,3855.15,3856.0,31124700.0
2019-10-25 10:15:00,3855.08,3855.52,3855.08,3855.91,29062200.0
2019-10-25 10:16:00,3855.87,3854.67,3854.48,3855.87,32363500.0
2019-10-25 10:17:00,3854.38,3854.25,3854.23,3854.68,33639500.0
2019-10-25 10:18:00,3854.24,3854.17,3854.15,3854.67,29857600.0
2019-10-25 10:19:00,3854.17,3853.8,3853.65,3854.58,40906700.0
2019-10-25 10:20:00,3853.53,3853.14,3853.1,3854.08,28624000.0
2019-10-25 10:21:00,3853.27,3850.01,3850.01,3853.41,43398200.0
2019-10-25 10:22:00,3849.65,3849.18,3849.03,3849.65,57449300.0
2019-10-25 10:23:00,3849.49,3853.43,3849.49,3853.43,48605300.0
2019-10-25 10:24:00,3853.15,3854.77,3853.15,3854.77,29713000.0
2019-10-25 10:25:00,3855.12,3854.71,3854.62,3855.24,24872500.0
2019-10-25 10:26:00,3854.96,3855.39,3854.96,3855.52,23300500.0
2019-10-25 10:27:00,3855.34,3855.2,3855.18,3855.77,21997200.0
2019-10-25 10:28:00,3855.19,3855.19,3854.92,3855.62,18819000.0
2019-10-25 10:29:00,3854.82,3854.88,3854.82,3855.45,19294000.0
2019-10-25 10:30:00,3854.8,3855.15,3854.69,3855.25,24344200.0
2019-10-25 10:31:00,3855.28,3854.4,3854.34,3855.28,24654100.0
2019-10-25 10:32:00,3854.48,3853.15,3852.83,3854.48,25113200.0
2019-10-25 10:33:00,3852.77,3851.85,3851.79,3852.77,27201600.0
2019-10-25 10:34:00,3851.82,3853.67,3851.58,3853.67,21613800.0
2019-10-25 10:35:00,3853.58,3853.07,3852.97,3853.82,21316500.0
2019-10-25 10:36:00,3852.89,3853.25,3852.44,3853.25,21996800.0
2019-10-25 10:37:00,3853.24,3853.79,3852.85,3853.88,23597900.0
2019-10-25 10:38:00,3853.78,3853.77,3853.37,3854.25,20401800.0
2019-10-25 10:39:00,3854.01,3854.78,3853.53,3854.78,21982700.0
2019-10-25 10:40:00,3854.68,3854.86,3854.68,3855.76,21488800.0
2019-10-25 10:41:00,3855.3,3852.46,3852.46,3855.42,31031000.0
2019-10-25 10:42:00,3852.04,3853.96,3852.04,3854.1,26261300.0
2019-10-25 10:43:00,3854.1,3853.99,3853.99,3854.7,22729000.0
2019-10-25 10:44:00,3853.61,3852.87,3852.87,3854.35,33798000.0
2019-10-25 10:45:00,3853.06,3853.69,3852.89,3853.69,20443000.0
2019-10-25 10:46:00,3853.41,3853.62,3853.02,3853.66,22130700.0
2019-10-25 10:47:00,3853.69,3853.05,3853.05,3854.11,19731500.0
2019-10-25 10:48:00,3853.38,3852.49,3852.49,3853.57,19645800.0
2019-10-25 10:49:00,3852.45,3852.98,3852.43,3853.15,24534400.0
2019-10-25 10:50:00,3852.7,3854.03,3852.7,3854.03,22017300.0
2019-10-25 10:51:00,3853.94,3855.72,3853.9,3855.72,22433400.0
2019-10-25 10:52:00,3855.38,3866.52,3855.38,3866.83,99174100.0
2019-10-25 10:53:00,3866.81,3864.4,3863.28,3866.81,48834500.0
2019-10-25 10:54:00,3864.87,3868.79,3864.87,3869.16,39122500.0
2019-10-25 10:55:00,3868.84,3869.18,3868.84,3869.6,35749700.0
2019-10-25 10:56:00,3869.62,3871.43,3869.62,3872.03,47973800.0
2019-10-25 10:57:00,3871.58,3871.69,3870.85,3871.93,51679300.0
2019-10-25 10:58:00,3871.86,3872.39,3871.56,3873.15,42969700.0
2019-10-25 10:59:00,3872.66,3870.77,3870.77,3872.66,31687700.0
2019-10-25 11:00:00,3870.37,3867.73,3867.73,3870.57,34040000.0
2019-10-25 11:01:00,3867.58,3872.82,3867.58,3873.01,37154900.0
2019-10-25 11:02:00,3872.72,3870.13,3870.13,3873.13,36305200.0
2019-10-25 11:03:00,3870.26,3870.51,3869.99,3870.92,22894800.0
2019-10-25 11:04:00,3870.43,3870.05,3869.78,3870.51,19403800.0
2019-10-25 11:05:00,3870.13,3869.31,3869.28,3870.13,20299200.0
2019-10-25 11:06:00,3868.96,3868.67,3868.67,3869.88,22409300.0
2019-10-25 11:07:00,3868.63,3870.03,3868.57,3870.71,21843300.0
2019-10-25 11:08:00,3869.9,3871.39,3869.9,3871.62,21996500.0
2019-10-25 11:09:00,3871.34,3871.28,3871.28,3872.07,24119100.0
2019-10-25 11:10:00,3871.63,3871.51,3871.33,3872.24,20005700.0
2019-10-25 11:11:00,3871.67,3879.28,3871.67,3879.28,67613700.0
