,trades,active_holds,passive_holds
803,9183,0,2922
804,9519,0,2334
805,9502,0,2369
806,9487,0,2283
807,9461,0,2361
808,9443,0,2345
809,9466,0,2349
810,9492,0,2382
811,9401,0,2380
812,9582,0,2355
813,9505,0,2349
814,9211,0,2834
815,9574,0,2316
816,9443,0,2406
817,9518,0,2337
818,9617,0,2279
819,9675,0,2263
820,9503,0,2290
821,9579,0,2267
822,9552,0,2322
823,9613,0,2253
824,9587,0,2284
825,9329,0,2867
826,9714,0,2253
827,9680,0,2302
828,9614,0,2356
829,9681,0,2328
830,9724,0,2280
831,9624,0,2345
832,9640,0,2335
833,9587,0,2370
834,9575,0,2440
835,9715,0,2286
836,9273,0,2903
837,9685,0,2353
838,9581,0,2408
839,9627,0,2349
840,9598,0,2370
841,9617,0,2342
842,9650,0,2289
843,9676,0,2359
844,9649,0,2364
845,9650,0,2340
846,9579,0,2414
847,9435,0,2888
848,9624,0,2463
849,9672,0,2383
850,9687,0,2451
851,9610,0,2479
852,9590,0,2455
853,9588,0,2445
854,9648,0,2443
855,9597,0,2478
856,9688,0,2436
857,9769,0,2383
858,9793,0,2869
859,9771,0,2417
860,9784,0,2404
861,9610,0,2500
862,9616,0,2520
863,9768,0,2364
864,9685,0,2507
865,9758,0,2369
866,9662,0,2513
867,9693,0,2446
868,9750,0,2444
869,9793,0,2895
870,9616,0,2515
871,9596,0,2564
872,9625,0,2472
873,9634,0,2485
874,9558,0,2525
875,9538,0,2546
876,9575,0,2569
877,9664,0,2540
878,9555,0,2489
879,9650,0,2562
880,9665,0,2889
881,9420,0,2575
882,9558,0,2507
883,9500,0,2522
884,9628,0,2395
885,9490,0,2540
886,9496,0,2573
887,9408,0,2566
888,9529,0,2549
889,9490,0,2572
890,9627,0,2470
891,9548,0,2948
892,9307,0,2629
893,9619,0,2449
894,9394,0,2591
895,9378,0,2623
896,9473,0,2505
897,9412,0,2524
898,9412,0,2612
899,9358,0,2634
900,9538,0,2530
901,9471,0,2492
902,9659,0,2941
903,9614,0,2531
904,9546,0,2673
905,9695,0,2517
906,9594,0,2550
907,9583,0,2541
908,9560,0,2608
909,9669,0,2490
910,9719,0,2439
911,9568,0,2590
912,9565,0,2615
913,9758,0,2981
914,9569,0,2621
915,9587,0,2613
916,9526,0,2701
917,9517,0,2624
918,9394,0,2708
919,9562,0,2559
920,9503,0,2690
921,9534,0,2626
922,9593,0,2631
923,9598,0,2545
924,10005,0,2959
925,9685,0,2666
926,9683,0,2621
927,9747,0,2544
928,9711,0,2576
929,9701,0,2632
930,9646,0,2642
931,9606,0,2597
