,balance,net_worth
951,10081.205043648662,10081.620490956328
952,10080.990502644285,10081.782528387546
953,10081.23040108647,10081.865368480781
954,10081.068457867988,10081.662786999515
955,10077.325861203008,10078.106730571499
956,10077.5893608986,10077.946692319107
957,10077.5893608986,10077.74325044613
958,10077.5893608986,10077.808397853616
959,10077.5893608986,10077.962704271462
960,10077.5893608986,10078.093894253312
961,10077.5893608986,10077.994835808133
962,10077.5893608986,10078.135069556682
963,10077.5893608986,10077.785249337316
964,10077.5893608986,10077.902931686122
965,10077.34690589041,10078.076596759536
966,10077.290548474739,10077.573523369414
967,10077.44469938504,10077.95621074409
968,10077.653656992521,10078.372507365848
969,10077.690117534417,10078.152834854776
970,10072.701660926237,10072.954978705737
971,10072.798073175376,10073.265343754058
972,10072.798073175376,10073.42603896032
973,10072.798073175376,10073.396690062415
974,10072.718270040881,10073.609058850592
975,10072.639314612246,10073.598126099861
976,10070.146336381877,10071.440044660649
977,10070.146336381877,10071.249612433496
978,10070.146336381877,10071.49211995327
979,10073.954643642946,10074.753075305236
980,10073.65588840001,10074.786287047924
981,10072.40927348382,10073.449670604103
982,10068.66989154104,10070.39467430489
983,10082.45080320967,10083.091483261884
984,10082.45080320967,10083.317868776396
985,10082.45080320967,10083.16604529065
986,10082.45080320967,10083.052772101746
987,10082.45080320967,10083.246826889494
988,10078.707693348979,10079.777197532769
989,10078.969366017152,10079.679752067957
990,10078.969366017152,10079.659284872616
991,10078.969366017152,10079.728511383844
992,10078.969366017152,10079.59196159784
993,10078.969366017152,10079.786470598869
994,10078.760478513597,10079.528543907578
995,10082.502295890727,10083.299935335494
996,10082.206150439659,10083.289564912538
997,10082.384033558543,10082.866396792957
998,10082.384033558543,10082.83183468632
999,10082.384033558543,10083.028106043255
1000,10079.888643510232,10080.664074802255
1001,10076.146484851331,10077.417336071067
1002,10079.265259204942,10079.958771628619
1003,10079.133690755076,10079.956079269714
1004,10078.967779535715,10080.17468546467
1005,10073.978690484844,10075.623280921038
1006,10074.779483566179,10075.87288249022
1007,10074.779483566179,10075.838382010636
1008,10074.476950805994,10075.847082357965
1009,10073.230234283334,10074.72046747423
1010,10068.243985317364,10069.978224087954
1011,10068.482161833486,10069.92706257611
1012,10069.06680948465,10070.05827121227
1013,10069.06680948465,10069.98728428412
1014,10070.30876206197,10071.120204770688
1015,10070.102275432335,10070.926830991293
1016,10065.117574805994,10066.393771706242
1017,10064.953848110083,10066.420314484796
1018,10064.953848110083,10066.431055611398
1019,10064.871635271438,10066.435008938643
1020,10064.54310641913,10066.436130818685
1021,10064.440255526735,10066.89549111765
1022,10064.079183715769,10066.605728650917
1023,10064.079183715769,10066.817117411143
1024,10064.079183715769,10066.056716879255
1025,10063.836595206021,10066.337118604955
1026,10065.40508288602,10066.673858346285
1027,10060.42270736999,10061.247746165109
1028,10060.42270736999,10061.299648306616
1029,10057.932752749919,10059.229101505849
1030,10058.86041916465,10059.50339824912
1031,10055.12606723404,10055.744840626243
1032,10052.6374235324,10053.265660171775
1033,10052.899188951871,10053.325620252628
1034,10052.899188951871,10053.646240355549
1035,10052.899188951871,10053.608310912323
1036,10052.798294878836,10053.706591389937
1037,10052.846399409957,10053.674361945234
1038,10053.312916762936,10054.031399436177
1039,10053.390669655106,10054.326016467057
1040,10053.393015625115,10054.007155678863
1041,10053.422172959676,10054.014963066158
