,index,balance,net_worth,open_amount,price
164,164,17212.857919999977,9580.857919999977,-0.8999999999999999,8480.0
165,165,16364.603519999977,9580.603519999979,-0.7999999999999999,8480.0
166,166,15514.748639999976,9567.548639999975,-0.7,8496.0
167,167,14665.693999999976,9572.893999999975,-0.6,8488.0
168,168,13815.839119999975,9567.839119999975,-0.5,8496.0
169,169,12959.582319999976,9535.582319999976,-0.4,8560.0
170,170,12106.526479999975,9548.126479999974,-0.30000000000000004,8528.0
171,171,11251.870159999975,9543.070159999974,-0.20000000000000004,8544.0
172,172,10398.014079999975,9544.414079999975,-0.10000000000000003,8536.0
173,173,9542.557519999975,9542.557519999975,-2.7755575615628914e-17,8552.0
174,174,8687.100959999974,9542.300959999975,0.09999999999999998,8552.0
175,175,7827.643199999974,9546.043199999975,0.19999999999999998,8592.0
176,176,6971.386399999974,9539.386399999974,0.3,8560.0
177,177,7827.929359999974,9541.529359999973,0.19999999999999998,8568.0
178,178,6972.472799999974,9538.072799999974,0.3,8552.0
179,179,6118.6167199999745,9533.016719999974,0.4,8536.0
180,180,6958.364719999974,9478.364719999974,0.30000000000000004,8400.0
181,181,7808.509599999974,9509.309599999975,0.20000000000000004,8504.0
182,182,8657.854719999974,9507.454719999974,0.10000000000000003,8496.0
183,183,9507.999599999974,9507.999599999974,2.7755575615628914e-17,8504.0
184,184,10356.544959999974,9507.744959999975,-0.09999999999999998,8488.0
185,185,11205.890079999974,9506.690079999975,-0.19999999999999998,8496.0
186,186,12050.436639999974,9516.036639999975,-0.3,8448.0
187,187,11205.383199999975,9515.783199999974,-0.19999999999999998,8448.0
188,188,12046.730719999974,9521.930719999975,-0.3,8416.0
189,189,12884.879199999974,9531.279199999974,-0.4,8384.0
190,190,13724.627199999974,9524.627199999974,-0.5,8400.0
191,191,14564.375199999973,9524.375199999973,-0.6,8400.0
192,192,15404.123199999973,9524.123199999973,-0.7,8400.0
193,193,16239.072639999973,9557.472639999974,-0.7999999999999999,8352.0
194,194,17075.621599999973,9544.421599999974,-0.8999999999999999,8368.0
195,195,17912.170559999973,9544.170559999975,-0.9999999999999999,8368.0
196,196,17912.170559999973,9568.170559999975,-0.9999999999999999,8344.0
197,197,17075.91975999997,9551.919759999972,-0.8999999999999999,8360.0
198,198,16239.668959999972,9551.668959999974,-0.7999999999999999,8360.0
199,199,15405.018639999971,9564.218639999972,-0.7,8344.0
200,200,16234.36975999997,9597.569759999971,-0.7999999999999999,8296.0
201,201,17062.92111999997,9603.721119999971,-0.8999999999999999,8288.0
202,202,17890.67271999997,9610.672719999971,-0.9999999999999999,8280.0
203,203,17890.67271999997,9666.672719999971,-0.9999999999999999,8224.0
204,204,17890.67271999997,9634.672719999971,-0.9999999999999999,8256.0
205,205,17890.67271999997,9634.672719999971,-0.9999999999999999,8256.0
206,206,17890.67271999997,9642.672719999971,-0.9999999999999999,8248.0
207,207,17057.62287999997,9562.422879999971,-0.8999999999999999,8328.0
208,208,16224.57303999997,9562.17303999997,-0.7999999999999999,8328.0
209,209,15391.52319999997,9561.923199999972,-0.7,8328.0
210,210,14556.072639999971,9544.872639999972,-0.6,8352.0
211,211,13720.622079999972,9544.622079999972,-0.5,8352.0
212,212,12884.371279999972,9540.371279999972,-0.4,8360.0
213,213,12048.120479999972,9540.120479999972,-0.30000000000000004,8360.0
214,214,11210.269199999972,9535.06919999997,-0.20000000000000004,8376.0
215,215,10370.017199999971,9530.017199999971,-0.10000000000000003,8400.0
216,216,9528.164719999972,9528.164719999972,-2.7755575615628914e-17,8416.0
217,217,8689.513199999972,9527.913199999972,0.09999999999999998,8384.0
218,218,7854.062639999972,9524.462639999972,0.19999999999999998,8352.0
219,219,8691.411359999973,9529.011359999973,0.09999999999999998,8376.0
220,220,9529.559839999973,9529.559839999973,-2.7755575615628914e-17,8384.0
221,221,10366.908559999973,9529.308559999972,-0.10000000000000003,8376.0
222,222,11203.457519999973,9529.857519999972,-0.20000000000000004,8368.0
223,223,12036.007679999973,9537.607679999972,-0.30000000000000004,8328.0
224,224,12868.557839999974,9537.357839999973,-0.4,8328.0
225,225,13701.107999999975,9537.107999999975,-0.5,8328.0
226,226,12860.855999999974,9500.855999999974,-0.4,8400.0
227,227,12019.803759999973,9497.403759999972,-0.30000000000000004,8408.0
228,228,11178.751519999973,9497.151519999972,-0.20000000000000004,8408.0
229,229,10337.699279999972,9496.89927999997,-0.10000000000000003,8408.0
230,230,9496.64703999997,9496.64703999997,-2.7755575615628914e-17,8408.0
231,231,8657.995519999971,9496.395519999971,0.09999999999999998,8384.0
232,232,7819.343999999971,9496.143999999971,0.19999999999999998,8384.0
233,233,6979.892239999971,9497.49223999997,0.3,8392.0
234,234,7816.441199999971,9490.04119999997,0.19999999999999998,8368.0
235,235,8654.589679999972,9492.989679999971,0.09999999999999998,8384.0
236,236,9493.537919999972,9493.537919999972,-2.7755575615628914e-17,8392.0
237,237,8651.685439999972,9493.285439999972,0.09999999999999998,8416.0
238,238,7811.433439999972,9491.433439999972,0.19999999999999998,8400.0
239,239,6970.381199999972,9492.781199999972,0.3,8408.0
